ticker,name,company_id,publisher_status_id,company_type_id,industry_groups_id,company_nature_id,created_at,audited
صنعت و معدن و فناوری قدر نیکان,صنعت و معدن و فناوری قدر نیکان,812246.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنعت یاران انرژی فدک قدر,صنعت یاران انرژی فدک قدر,812240.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنعت یاران نیروگاهی ایرانیان,صنعت یاران نیروگاهی ایرانیان,812241.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنعت کاران جم,صنعت کاران جم,810873.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنعتی تدبیر تایر یزد,صنعتی تدبیر تایر یزد,811118.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنعتی تولیدی سپنتا پلیمر,صنعتی تولیدی سپنتا پلیمر,810825.0,-1,-1,-1,1000000,2025-10-29 09:11:47,False
صنعتی عالم آرا,گروه صنعتی عالم آرا,751247.0,4,1,-1,1000000,2025-10-29 09:11:47,False
صنعتی معدنی بازرگانی گوهران چغارت بافق,صنعتی معدنی بازرگانی گوهران چغارت بافق,810756.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنعتی مقواسازی شرق,صنعتی مقوا سازی شرق,810530.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنعتی مهتاب صنعت نیرو,صنعتی مهتاب صنعت نیرو ,771038.0,4,-1,77,1000000,2025-10-29 09:11:47,False
صنعتی و بازرگانی شفق راهیان اکسین,صنعتی و بازرگانی شفق راهیان اکسین,811070.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنعتی و بازرگانی غدیر,صنعتی و بازرگانی غدیر,812129.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنعتی و معدنی اپال پارسیان سنگان,صنعتی و معدنی اپال پارسیان سنگان,812402.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنعتی و معدنی پیشگامان فولاد شرق,صنعتی و معدنی پیشگامان فولاد شرق,812254.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
