id,name
-1,همه موارد
1,اطلاعات و صورت مالی سالانه
2,افشااطلاعات با اهمیت و شفاف سازی
3,گزارش عملکرد ماهانه
4,اساسنامه / امیدنامه
5,اطلاعات هئیت مدیره و کمیته حسابرسی
6,آگهی دعوت به مجامع و تصمیمات
7,افزایش سرمایه
8,شفاف سازی مربوط به بورس/فرابورس
9,شفاف سازی مربوط به سازمان
10,سایر
11,اوراق بدهی
